"","Rk","Name","Born","Yrs","From","To","ASG","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G.1","GS","SV","IP","H.1","HR.1","BB.1","SO","Franchises","month","day"
"1",1,"Xavier Avery",1990,1,2012,2012,0,32,94,14,21,1,6,6,11,0.223,0.305,0.34,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",1,1
"2",2,"Jarrett Parker",1989,3,2015,2017,0,93,197,34,50,11,30,1,26,0.254,0.355,0.467,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",1,1
"3",3,"Dallas Keuchel",1988,6,2012,2017,1,150,35,2,3,0,1,0,2,0.086,0.132,0.086,0.217,59,47,3.6,1.226,146,137,0,914.2,865,88,256,736,"HOU",1,1
"4",4,"Nick Hagadone",1986,5,2011,2015,0,143,0,0,0,0,0,0,0,NA,NA,NA,NA,3,2,4.72,1.369,143,0,1,118.1,102,14,60,122,"CLE",1,1
"5",5,"Neil Wagner",1984,3,2011,2014,0,52,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,4.92,1.453,52,0,0,53,57,7,20,43,"OAK,TOR",1,1
"6",6,"Fernando Tatis",1975,11,1997,2010,0,949,3051,427,807,113,448,50,321,0.265,0.344,0.442,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEX,STL,WSN,BAL,NYM",1,1
"7",7,"Kevin Beirne",1974,3,2000,2002,0,46,5,1,2,0,0,0,0,0.4,0.4,0.4,0.8,3,3,6.09,1.541,46,4,0,85.2,89,14,43,63,"CHW,TOR,LAD",1,1
"8",8,"Rafael Roque",1972,3,1998,2000,0,56,30,0,2,0,1,0,2,0.067,0.125,0.067,0.192,5,8,5.36,1.584,56,18,1,137.2,145,26,73,104,"MIL",1,1
"9",9,"Gary Wilson",1970,1,1995,1995,0,10,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,5.02,1.256,10,0,0,14.1,13,2,5,8,"PIT",1,1
"10",10,"Roberto Rivera",1969,2,1995,1999,0,19,0,0,0,0,0,0,0,NA,NA,NA,NA,1,2,4.5,1.583,19,0,0,12,14,2,5,5,"CHC,SDP",1,1
"11",11,"Bob Owchinko",1955,10,1976,1986,0,275,163,9,22,0,5,0,13,0.135,0.199,0.153,0.352,37,60,4.28,1.46,275,104,7,890.2,937,88,363,490,"SDP,CLE,OAK,PIT,CIN,WSN",1,1
"12",12,"LaMarr Hoyt",1955,8,1979,1986,1,246,110,7,10,0,3,0,2,0.091,0.107,0.1,0.207,98,68,3.99,1.214,244,172,10,1311.1,1313,140,279,681,"CHW,SDP",1,1
"13",13,"Lynn Jones",1953,8,1979,1986,0,527,947,109,239,7,91,13,73,0.252,0.308,0.321,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET,KCR",1,1
"14",14,"Joe Pittman",1953,3,1981,1984,0,139,285,29,75,0,16,13,20,0.263,0.309,0.302,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU,SDP,SFG",1,1
"15",15,"Randy Bobb",1948,2,1968,1969,0,10,10,0,1,0,0,0,1,0.1,0.182,0.1,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",1,1
"16",16,"Bill Bethea",1942,1,1964,1964,0,10,30,4,5,0,2,0,4,0.167,0.265,0.2,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",1,1
"17",17,"Gene Host",1933,2,1956,1957,0,12,7,0,0,0,0,0,0,0,0,0,0,0,2,7.31,1.906,12,3,0,28.1,38,7,16,14,"DET,OAK",1,1
"18",18,"Foster Castleman",1931,5,1954,1958,0,268,662,58,136,20,65,4,35,0.205,0.25,0.341,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG,BAL",1,1
"19",19,"Carl Scheib",1927,11,1943,1954,0,327,468,51,117,5,59,1,21,0.25,0.284,0.338,0.621,45,65,4.88,1.516,267,107,18,1070.2,1130,99,493,290,"OAK,STL",1,1
"20",20,"Charlie Bishop",1924,4,1952,1955,0,72,100,5,11,0,8,0,3,0.11,0.136,0.14,0.276,10,22,5.33,1.616,69,37,3,294,307,28,168,121,"OAK",1,1
"21",21,"Earl Torgeson",1924,15,1947,1961,0,1668,4969,848,1318,149,740,133,980,0.265,0.385,0.417,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL,PHI,DET,CHW,NYY",1,1
"22",22,"Royce Lint",1921,1,1954,1954,0,31,10,1,1,0,2,1,6,0.1,0.438,0.2,0.638,2,3,4.86,1.493,30,4,0,70.1,75,9,30,36,"STL",1,1
"23",23,"Sherry Robertson",1919,10,1940,1952,0,597,1507,200,346,26,151,32,202,0.23,0.323,0.342,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN,OAK",1,1
"24",24,"Hiker Moran",1912,2,1938,1939,0,7,6,1,1,0,1,0,2,0.167,0.375,0.167,0.542,1,1,3.91,1.478,7,2,0,23,22,3,12,4,"ATL",1,1
"25",25,"Hank Greenberg HOF",1911,13,1930,1947,5,1394,5193,1046,1628,331,1274,58,852,0.313,0.412,0.605,1.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET,PIT",1,1
"26",26,"Charlie Devens",1910,3,1932,1934,0,16,25,1,3,0,1,1,6,0.12,0.29,0.12,0.41,5,3,3.73,1.659,16,10,0,82,74,1,62,31,"NYY",1,1
"27",27,"Ethan Allen",1904,13,1926,1938,0,1281,4418,623,1325,47,501,84,223,0.3,0.336,0.41,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,SFG,STL,PHI,CHC,BAL",1,1
"28",28,"Teddy Kearns",1900,3,1920,1925,0,8,19,0,5,0,1,0,1,0.263,0.3,0.368,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAK,CHC",1,1
"29",29,"Al Stokes",1900,2,1925,1926,0,47,138,14,25,0,7,0,12,0.181,0.247,0.261,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS",1,1
"30",30,"Monty Swartz",1897,1,1920,1920,0,1,4,0,2,0,0,0,0,0.5,0.5,0.5,1,0,1,4.5,1.583,1,1,0,12,17,0,2,2,"CIN",1,1
"31",31,"Hack Miller",1894,6,1916,1925,0,349,1200,164,387,38,205,10,64,0.323,0.361,0.49,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD,BOS,CHC",1,1
"32",32,"Frank Fuller",1894,3,1915,1923,0,40,63,11,11,0,3,6,11,0.175,0.297,0.175,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET,BOS",1,1
"33",33,"Charlie Schmutz",1891,2,1914,1915,0,19,17,2,3,0,0,0,2,0.176,0.263,0.235,0.498,1,3,3.52,1.272,19,5,0,61.1,64,1,14,22,"LAD",1,1
"34",34,"Tom Downey",1884,6,1909,1915,0,651,2170,256,520,7,188,87,198,0.24,0.306,0.304,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,CHC,PHI,BFL",1,1
"35",35,"Howard Murphy",1882,1,1909,1909,0,25,60,3,12,0,3,1,4,0.2,0.25,0.2,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",1,1
"36",36,"Andy Bruckmiller",1882,1,1905,1905,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,5,1,0,0,1,4,0,1,1,"DET",1,1
"37",37,"Rudy Bell",1881,1,1907,1907,0,17,52,4,11,0,3,4,3,0.212,0.268,0.288,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",1,1
"38",38,"Claude Rothgeb",1880,1,1905,1905,0,7,16,2,2,0,0,1,0,0.125,0.125,0.125,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",1,1
"39",39,"Harry Wilson",1876,1,1898,1898,0,1,2,0,0,0,0,0,1,0,0.333,0,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLO",1,1
"40",40,"Joe Martin",1876,1,1903,1903,0,79,292,29,64,0,14,2,11,0.219,0.252,0.315,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL,MIN",1,1
"41",41,"Doc Amole",1874,2,1897,1898,0,18,48,5,5,0,5,0,2,0.104,0.173,0.104,0.277,4,10,4.75,1.584,18,12,0,119.1,150,0,39,30,"BLO,WAS",1,1
"42",42,"Ned Garvin",1874,7,1896,1904,0,181,500,34,61,0,18,1,17,0.122,0.156,0.124,0.28,58,97,2.72,1.237,181,158,3,1400.2,1320,20,413,612,"PHI,CHC,BAL,LAD,CHW,NYY",1,1
"43",43,"Tom Donovan",1873,1,1901,1901,0,18,71,9,18,0,5,1,0,0.254,0.254,0.324,0.577,0,0,5.14,2.714,1,0,0,7,16,0,3,0,"CLE",1,1
"44",44,"Malcolm MacDonald",1872,1,1902,1902,0,2,9,0,3,0,1,0,0,0.333,0.333,0.333,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",1,1
"45",45,"Bumpus Jones",1870,2,1892,1893,0,8,18,3,4,0,0,1,3,0.222,0.333,0.389,0.722,2,4,7.99,1.896,8,7,0,41.2,42,1,37,10,"CIN,SFG",1,1
"46",46,"Frank Connaughton",1869,3,1894,1906,0,146,530,98,150,4,77,26,44,0.283,0.344,0.343,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL,SFG",1,1
"47",47,"Jack Keenan",1869,1,1891,1891,0,1,4,1,2,0,1,1,0,0.5,0.5,0.5,1,0,1,0,1.25,1,1,0,8,6,0,4,5,"CKK",1,1
"48",48,"Dave Zearfoss",1868,5,1896,1905,0,72,202,15,42,0,17,2,19,0.208,0.279,0.252,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG,STL",1,1
"49",49,"Miah Murray",1865,4,1884,1891,0,34,120,6,17,0,7,0,4,0.142,0.176,0.15,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRO,LOU,WNL,WAS",1,1
"50",50,"Hugh Nicol",1858,10,1881,1890,0,888,3465,631,813,5,272,383,337,0.235,0.307,0.282,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC,STL,CIN",1,1
"51",51,"Tim Keefe HOF",1857,14,1880,1893,0,618,2083,248,390,12,134,13,175,0.187,0.252,0.27,0.521,342,225,2.63,1.123,600,594,2,5049.2,4438,75,1233,2564,"TRT,NYP,SFG,NYI,PHI",1,1
"52",52,"Bill McGunnigle",1855,3,1879,1882,0,56,202,24,35,0,6,NA,5,0.173,0.193,0.183,0.376,11,8,2.81,1.146,19,18,0,157,156,0,24,65,"BUF,WOR,CBL",1,1
"53",53,"Robert Stevens",1855,1,1875,1875,0,1,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WNT",1,1
"54",54,"Tom Mansell",1855,3,1879,1884,0,191,767,132,199,0,74,NA,39,0.259,0.3,0.318,0.619,0,0,16.2,3.9,1,0,0,6.2,21,2,5,3,"SYR,TRT,DTN,STL,CIN,CBK",1,1
